Model,MAE,RMSE,R2,Accuracy_within_0.05_pct
Hybrid_SelfAttn,0.013392548219642648,0.03409381167942513,0.9812946148585661,93.65440264572136
Baseline,0.01357397756451166,0.03195056774321876,0.9835724537628274,94.91525423728814
Weighted_Ensemble,0.013790981302523207,0.027640599534715708,0.9877055117450437,95.99007854485325
BiDir_Original,0.014324025898788036,0.034577770833007705,0.9807598026619696,95.26663910706904
BiDir_Tuned,0.015867409225945494,0.03324150350217317,0.9822181535424468,92.31087226126499
CLSTAN_Residual,0.015970492827606875,0.030847952480180692,0.9846867199423797,92.55890863993386
CLSTAN_Original,0.020307333990160072,0.03847688849923063,0.9761759589680428,92.55890863993386
CLSTAN_Large_Batch,0.028074931329480662,0.04408250169790573,0.9687285510473295,78.00744109136006
GradientTape_CLSTAN,0.03285852942199776,0.04736062831512842,0.9639047171384184,89.00372054568003
CLSTAN_Tuned_Dropout,0.034259719140565484,0.05146416303836401,0.957378830016097,79.35097147581645
